title,rating,runtime,imdb_rating,genre,release_year,description,director,votes,stars,type
Holiday Affair,Approved,1hr 27 mins,7.1,"Comedy, Drama, Family",1949,A young widow is torn between a boring attorney and a romantic ne'er-do-well.,Don Hartman,6780,"Robert Mitchum, Janet Leigh, Wendell Corey, Gordon Gebert, ",Movie
Crown for Christmas,TV-G,1hr 26 mins,6.9,"Comedy, Drama, Family",2015,"After getting fired from her job as a maid at a ritzy New York City hotel, Allie reluctantly accepts a temporary gig as the governess to a young girl who is part of a powerful family in Europe that lives in a castle.",Alex Zamm,5499,"Danica McKellar, Rupert Penry-Jones, Ellie Botterill, Pavel Douglas, ",Movie
The Bells of St. Mary's,Unrated,2hr 6 mins,7.2,Drama,1945,"At a big city Catholic school, Father O'Malley and Sister Benedict indulge in friendly rivalry, and succeed in extending the school through the gift of a building.",Leo McCarey,9101,"Bing Crosby, Ingrid Bergman, Henry Travers, William Gargan, ",Movie
The Spirit of Christmas,Unrated,1hr 31 mins,6.4,"Drama, Mystery, Romance",2015,"12 days before Christmas, Kate is trying to close the sale of a historic inn, only to find Daniel, the ghost of a man who died a century ago, and he needs her help to unravel the mystery of his annual holiday haunting.",David Jackson,7826,"Thomas Beaudoin, Kati Salowsky, Steven A. Miller, Jen Lilley, ",Movie
Holiday,Passed,1hr 35 mins,7.7,"Comedy, Romance",1938,A young man in love with a girl from a rich family finds his unorthodox plan to go on holiday for the early years of his life met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother.,George Cukor,17728,"Katharine Hepburn, Cary Grant, Doris Nolan, Lew Ayres, ",Movie
Christmas Under Wraps,TV-G,1hr 28 mins,6.2,"Comedy, Drama, Romance",2014,"When an aspiring surgeon is turned down for a fellowship, she takes a temporary position working as a GP in a small Alaskan town in an effort to boost her résumé.",Peter Sullivan,6172,"Candace Cameron Bure, David O'Donnell, Robert Pine, Kendra Mylnechuk, ",Movie
The Little Drummer Boy,Not Rated,25 mins,6.9,"Animation, Drama, Family",1968,An orphan drummer boy who hates humanity finds his life changed forever when he meets three wise men en route to Bethlehem.,Jules Bass,6213,"Arthur Rankin Jr., Takeya Nakamura, José Ferrer, Paul Frees, June Foray, Ted Eccles, ",Movie
An Affair to Remember,Not Rated,1hr 55 mins,7.4,"Drama, Romance",1957,A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?,Leo McCarey,32465,"Cary Grant, Deborah Kerr, Richard Denning, Neva Patterson, ",Movie
Anne of Green Gables,TV-G,3hr 19 mins,8.5,"Drama, Family",1985,"An orphan girl, sent to an elderly brother and sister by mistake, charms her new home and community with her fiery spirit and imagination.",Megan Follows,22265,"Colleen Dewhurst, Richard Farnsworth, Patricia Hamilton, ",Movie
Rent,PG-13,2hr 15 mins,6.8,"Drama, Musical, Romance",2005,"This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America.",Chris Columbus,55464,"Taye Diggs, Wilson Jermaine Heredia, Rosario Dawson, Anthony Rapp, ",Movie
